T163.1,T163_P06.M05,49,163,1,P06,P,6,Czaplewski,466,5,1,1,18,0.1892,0.6852,0.2362,0.1383,16.0752,17.2136,16.7889,2206.1,11.04,27.89,0,(),0.4324,0.6111,0.5000,0.2903,8.7209,21.8076,incorrect,incorrect,0,0,1,(null)
T163.1,T163_P08.M01,49,163,1,P08,P,8,Huang,268,1,1,22,18,0.0000,0.6625,0.0000,0.0049,74.1320,34.7004,35.1578,3135.6,73.88,174.13,0,(),0.3784,0.3333,0.6410,0.7000,4.9610,5.0335,incorrect,incorrect,0,1,0,(null)
T163.1,T163_P08.M02,49,163,1,P08,P,8,Huang,268,2,1,14,18,0.0000,0.7333,0.0000,0.0082,57.3040,26.5247,27.3680,3271.2,56.89,167.44,0,(),0.4865,0.5556,0.5135,0.4737,3.8811,4.3941,incorrect,incorrect,0,0,0,(null)
T163.1,T163_P08.M03,49,163,1,P08,P,8,Huang,268,3,1,4,18,0.0000,0.7812,0.0000,0.0290,29.6584,14.2248,13.9554,1337.9,26.40,28.82,0,(),0.2973,0.3333,0.3889,0.3684,9.5760,5.8182,incorrect,incorrect,0,0,1,(null)
T163.1,T163_P08.M04,49,163,1,P08,P,8,Huang,268,4,1,2,18,0.0000,1.0000,0.0000,0.0073,60.3508,30.0051,29.3875,880.1,59.99,118.95,0,(),0.1622,0.3056,0.5000,0.2143,4.1736,4.3522,incorrect,incorrect,0,0,1,(null)
T163.1,T163_P08.M05,49,163,1,P08,P,8,Huang,268,5,1,7,18,0.3415,0.8056,0.2476,0.2223,13.3763,7.6418,9.7235,2766.9,7.93,24.39,0,(),0.4324,0.4444,0.5556,0.5000,4.9824,5.5927,incorrect,incorrect,0,0,0,(null)
T163.1,T163_P09.M01,49,163,1,P09,P,9,HDOCK,445,1,1,16,18,0.0000,1.0000,0.0000,0.0447,23.7299,10.4312,12.6955,3361.7,23.01,43.80,0,(),0.7027,0.6944,0.3500,0.3750,4.9864,5.0419,incorrect,incorrect,0,0,0,(null)
T163.1,T163_P09.M02,49,163,1,P09,P,9,HDOCK,445,2,1,25,18,0.0000,0.6706,0.0000,0.0050,74.0693,34.7098,35.1833,3107.6,73.81,175.14,0,(),0.3784,0.3333,0.6410,0.7000,4.9650,5.0286,incorrect,incorrect,0,1,0,(null)
T163.1,T163_P09.M03,49,163,1,P09,P,9,HDOCK,445,3,1,6,18,0.0000,0.8333,0.0000,0.0289,29.7285,14.2356,13.9795,1336.3,26.48,31.61,0,(),0.2973,0.3611,0.3889,0.3500,9.5695,5.8330,incorrect,incorrect,0,0,1,(null)
T163.1,T163_P09.M04,49,163,1,P09,P,9,HDOCK,445,4,1,2,18,0.0000,0.7692,0.0000,0.0460,23.0453,10.9887,12.0287,1210.3,20.16,136.02,0,(),0.2973,0.2500,0.3889,0.5000,9.5263,4.3858,incorrect,incorrect,0,0,1,(null)
T163.1,T163_P09.M05,49,163,1,P09,P,9,HDOCK,445,5,1,3,18,0.0000,1.0000,0.0000,0.0497,21.6020,12.1301,14.1471,1481.8,18.46,32.23,0,(),0.2162,0.2500,0.6000,0.5714,7.1409,6.4370,incorrect,incorrect,0,0,0,(null)
T163.1,T163_P11.M01,49,163,1,P11,P,11,GALAXYPPDOCK,348,1,1,7,18,0.0000,0.8418,0.0000,0.0240,32.7883,15.8281,17.1745,5778.1,31.70,169.14,0,(),0.8919,0.8889,0.4923,0.5224,5.3277,4.9324,incorrect,incorrect,0,0,0,(null)
T163.1,T163_P11.M02,49,163,1,P11,P,11,GALAXYPPDOCK,348,2,1,5,18,0.0000,0.8554,0.0000,0.0247,31.9919,16.4344,17.7769,5809.7,30.53,113.19,0,(),0.8649,0.8889,0.5077,0.5294,7.1380,6.5346,incorrect,incorrect,0,0,0,(null)
T163.1,T163_P11.M03,49,163,1,P11,P,11,GALAXYPPDOCK,348,3,1,3,18,0.0000,0.4667,0.0000,0.0257,31.5556,15.4272,15.7857,913.3,23.77,48.48,0,(),0.0811,0.1111,0.8000,0.6923,9.9956,6.9936,incorrect,incorrect,0,0,1,(null)
T163.1,T163_P11.M04,49,163,1,P11,P,11,GALAXYPPDOCK,348,4,1,2,18,0.0000,0.3333,0.0000,0.0279,29.9149,15.6135,15.9134,789.6,20.43,51.85,0,(),0.0270,0.0556,0.9000,0.8000,10.3560,6.6998,incorrect,incorrect,0,0,1,(null)
T163.1,T163_P11.M05,49,163,1,P11,P,11,GALAXYPPDOCK,348,5,1,7,18,0.0000,0.8235,0.0000,0.0250,31.7045,16.6867,18.0092,5518.7,30.88,77.14,0,(),0.8378,0.8889,0.5000,0.5362,6.5643,7.1069,incorrect,incorrect,0,0,0,(null)
T163.1,T163_P12.M01,49,163,1,P12,P,12,Seok,211,1,1,6,18,0.0000,0.8000,0.0000,0.0254,31.8008,15.2375,16.0330,4509.6,30.71,60.18,0,(),0.8919,0.8056,0.3774,0.4423,1.7994,2.2486,incorrect,incorrect,0,0,0,(null)
T163.1,T163_P12.M02,49,163,1,P12,P,12,Seok,211,2,1,10,18,0.0000,0.5505,0.0000,0.0137,43.7791,21.6198,22.1385,4738.6,43.56,38.23,0,(),0.6757,0.6944,0.5455,0.5370,2.6136,2.1346,incorrect,incorrect,0,0,0,(null)
T163.1,T163_P12.M03,49,163,1,P12,P,12,Seok,211,3,1,2,18,0.0000,0.9643,0.0000,0.0080,57.5182,28.6159,27.8737,1449.3,55.25,52.31,0,(),0.1622,0.1944,0.6471,0.6111,9.5572,2.3106,incorrect,incorrect,0,0,1,(null)
T163.1,T163_P12.M04,49,163,1,P12,P,12,Seok,211,4,1,2,18,0.0000,0.9714,0.0000,0.0081,57.3188,28.7049,27.9814,1375.7,54.65,59.35,0,(),0.1622,0.1389,0.6250,0.6875,9.5632,3.6316,incorrect,incorrect,0,0,1,(null)
T163.1,T163_P12.M05,49,163,1,P12,P,12,Seok,211,5,1,7,18,0.0000,0.6562,0.0000,0.0123,46.3764,22.7072,23.5396,4403.9,46.02,107.37,0,(),0.5405,0.5833,0.5745,0.5714,1.2291,1.7730,incorrect,incorrect,0,0,0,(null)
T163.1,T163_P13.M01,49,163,1,P13,P,13,MDOCKPP,428,1,1,0,18,0.0000,1.0000,0.0000,0.0184,36.0904,29.3727,30.0170,175.3,22.67,24.56,0,(),0.0000,0.0000,1.0000,1.0000,27.8187,28.1033,incorrect,incorrect,0,0,0,(null)
