target_id,identification,round,target,interface,p_id,p_type,p_rank,name,uid,model,e,nclash,threshold,fnat,fnonnat,f1,dockq,lrms,irms,srms,ia,dL,thetaL,nchain,(seqid//),fIR_L,fIR_R,fOP_L,fOP_R,mrms_L,mrms_R,classification,main_classification,stars,clashes,low_id,md5
T235.1,T235_P01.M18,56,235,1,P01,P,1,Brysbaert,660,18,0,27,66,0.3506,0.5882,0.3791,0.1297,43.1235,58.2169,55.5863,2307.7,11.72,21.27,0,(),0.6250,0.8788,0.4118,0.1471,40.9372,0.8453,incorrect,incorrect,0,0,0,(null)
T235.1,T235_P01.M19,56,235,1,P01,P,1,Brysbaert,660,19,0,27,66,0.3636,0.6027,0.3798,0.3636,7.5795,3.3186,3.7660,2241.6,1.68,24.87,0,(),0.6562,0.8485,0.2222,0.1250,0.7963,0.6568,acceptable,acceptable,1,0,0,(null)
T235.1,T235_P01.M20,56,235,1,P01,P,1,Brysbaert,660,20,0,49,66,0.4805,0.4412,0.5171,0.5015,5.4789,2.2014,2.7608,2123.3,2.33,16.10,0,(),0.7500,0.8182,0.1724,0.1290,0.7867,0.6618,acceptable,acceptable,1,0,0,(null)
T235.1,T235_P01.M21,56,235,1,P01,P,1,Brysbaert,660,21,0,32,66,0.4026,0.4386,0.4691,0.4272,6.3525,2.6909,3.1490,2016.4,1.28,21.01,0,(),0.7500,0.8182,0.1429,0.1000,0.7321,1.0175,acceptable,acceptable,1,0,0,(null)
T235.1,T235_P01.M22,56,235,1,P01,P,1,Brysbaert,660,22,0,52,66,0.0390,0.9524,0.0430,0.0316,36.4192,23.1298,22.8208,2111.5,11.98,152.90,0,(),0.5000,0.7576,0.4074,0.1667,13.2731,1.5939,incorrect,incorrect,0,0,0,(null)
T235.1,T235_P01.M23,56,235,1,P01,P,1,Brysbaert,660,23,0,63,66,0.4675,0.4861,0.4899,0.5334,4.5773,2.0125,2.6002,2170.9,1.40,14.28,0,(),0.7812,0.7879,0.1379,0.1333,0.7450,0.7551,medium,medium,2,0,0,(null)
T235.1,T235_P01.M24,56,235,1,P01,P,1,Brysbaert,660,24,0,44,66,0.0390,0.9500,0.0438,0.0295,38.4214,28.8770,28.0715,2098.4,10.93,152.27,0,(),0.5000,0.7576,0.4074,0.1667,18.0682,1.0917,incorrect,incorrect,0,0,0,(null)
T235.1,T235_P01.M25,56,235,1,P01,P,1,Brysbaert,660,25,0,15,66,0.3117,0.6324,0.3377,0.3424,7.7012,3.3607,3.8024,1994.1,1.16,25.72,0,(),0.7188,0.8788,0.1786,0.0938,0.7337,0.7022,acceptable,acceptable,1,0,0,(null)
T235.1,T235_P01.M26,56,235,1,P01,P,1,Brysbaert,660,26,0,26,66,0.3247,0.6061,0.3562,0.1210,43.1092,57.8252,55.0624,2271.2,11.78,25.92,0,(),0.6562,0.9091,0.4000,0.1176,40.6057,0.9022,incorrect,incorrect,0,0,0,(null)
T235.1,T235_P01.M27,56,235,1,P01,P,1,Brysbaert,660,27,0,29,66,0.3117,0.5833,0.3569,0.1180,41.0001,54.8690,50.9295,2141.1,10.82,19.81,0,(),0.5625,0.8485,0.4000,0.1765,38.9736,0.8126,incorrect,incorrect,0,0,0,(null)
T235.1,T235_P01.M28,56,235,1,P01,P,1,Brysbaert,660,28,0,49,66,0.3896,0.5571,0.4148,0.4327,6.1867,2.5681,3.0845,2084.7,2.15,19.11,0,(),0.6875,0.8182,0.1538,0.1290,0.8131,0.6992,acceptable,acceptable,1,0,0,(null)
T235.1,T235_P01.M29,56,235,1,P01,P,1,Brysbaert,660,29,0,43,66,0.4675,0.4789,0.4931,0.5031,5.4728,2.1164,2.7135,2045.9,2.56,15.75,0,(),0.7812,0.7879,0.1379,0.1333,0.7870,0.7130,acceptable,acceptable,1,0,0,(null)
T235.1,T235_P01.M30,56,235,1,P01,P,1,Brysbaert,660,30,0,23,66,0.3247,0.5938,0.3610,0.3568,7.4161,3.2293,3.6379,2079.7,1.12,24.89,0,(),0.7812,0.8485,0.1379,0.1250,0.7632,0.7204,acceptable,acceptable,1,0,0,(null)
T235.1,T235_P01.M31,56,235,1,P01,P,1,Brysbaert,660,31,0,28,66,0.2597,0.6866,0.2840,0.0990,43.7691,59.0445,54.9140,2272.8,11.71,23.83,0,(),0.5312,0.8182,0.4333,0.1818,41.4543,1.3771,incorrect,incorrect,0,0,0,(null)
T235.1,T235_P01.M32,56,235,1,P01,P,1,Brysbaert,660,32,0,55,66,0.4416,0.4776,0.4787,0.4756,5.7387,2.3028,2.8394,1979.2,1.69,18.61,0,(),0.7188,0.7576,0.1786,0.1071,0.7718,0.9816,acceptable,acceptable,1,0,0,(null)
