target_id,identification,round,target,interface,p_id,p_type,p_rank,name,uid,model,e,nclash,threshold,fnat,fnonnat,f1,dockq,lrms,irms,srms,ia,dL,thetaL,nchain,(seqid//),fIR_L,fIR_R,fOP_L,fOP_R,mrms_L,mrms_R,classification,main_classification,stars,clashes,low_id,md5
T187.1,T187_P04.M04,53,187,1,P04,P,4,MDOCKPP,428,4,1,11,126,0.0000,1.0000,0.0000,0.0034,88.5255,46.6507,49.1731,1340.7,67.44,124.89,0,(),0.0000,0.2535,1.0000,0.0526,35.8729,11.7507,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P04.M05,53,187,1,P04,P,4,MDOCKPP,428,5,1,9,126,0.0000,1.0000,0.0000,0.0018,123.6669,51.7047,55.0532,1363.1,115.20,67.46,0,(),0.0000,0.0986,1.0000,0.5000,36.7207,11.7694,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P05.M01,53,187,1,P05,P,5,Venclovas,387,1,1,23,126,0.0000,1.0000,0.0000,0.0035,129.5487,18.9812,20.7639,2605.8,111.57,121.06,0,(),0.0000,0.1408,1.0000,0.5000,4.5858,5.3198,incorrect,incorrect,0,0,1,(null)
T187.1,T187_P05.M02,53,187,1,P05,P,5,Venclovas,387,2,1,52,126,0.0000,1.0000,0.0000,0.0054,80.3172,20.7472,22.6603,3496.7,69.45,66.40,0,(),0.0000,0.1408,1.0000,0.5455,4.9130,17.7619,incorrect,incorrect,0,0,1,(null)
T187.1,T187_P05.M05,53,187,1,P05,P,5,Venclovas,387,5,1,35,126,0.0000,1.0000,0.0000,0.0056,85.2329,17.8384,19.5378,2905.5,53.17,179.37,0,(),0.1679,0.3099,0.5000,0.1200,4.6538,11.8456,incorrect,incorrect,0,0,1,(null)
T187.1,T187_P08.M01,53,187,1,P08,P,8,Bonvin,0,1,1,2,126,0.0000,1.0000,0.0000,0.0207,39.2901,11.2680,13.8982,2581.4,29.45,35.11,0,(),0.1603,0.4366,0.5435,0.1622,6.5797,13.4673,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P08.M02,53,187,1,P08,P,8,Bonvin,0,2,1,8,126,0.0000,1.0000,0.0000,0.0062,73.0048,20.5170,25.8631,3956.6,34.66,175.68,0,(),0.0000,0.4789,1.0000,0.2766,6.6880,13.2785,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P08.M03,53,187,1,P08,P,8,Bonvin,0,3,1,8,126,0.0046,0.9868,0.0072,0.0053,95.4401,27.3040,34.6958,3033.6,63.35,174.05,0,(),0.1527,0.2817,0.5652,0.3750,6.3363,13.2378,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P08.M04,53,187,1,P08,P,8,Bonvin,0,4,1,10,126,0.0000,1.0000,0.0000,0.0065,71.9789,19.9522,25.1348,4462.4,33.42,179.18,0,(),0.0000,0.5070,1.0000,0.2340,6.5883,13.3336,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P08.M05,53,187,1,P08,P,8,Bonvin,0,5,1,11,126,0.0000,1.0000,0.0000,0.0066,79.4328,16.3060,20.3124,4113.4,66.72,66.67,0,(),0.0000,0.4789,1.0000,0.2917,6.9496,13.4088,incorrect,incorrect,0,0,0,(null)
