4
61 312 0 /local/master/Evaluation/R61/T312/INT.1
61 314 0 /local/master/Evaluation/R61/T314/INT.1
61 315 0 /local/master/Evaluation/R61/T315/INT.1
61 316 0 /local/master/Evaluation/R61/T316/INT.1
target_id,identification,round,target,interface,p_id,p_type,p_rank,name,uid,model,e,nclash,threshold,fnat,fnonnat,f1,dockq,lrms,irms,srms,ia,dL,thetaL,nchain,(seqid//),fIR_L,fIR_R,fOP_L,fOP_R,mrms_L,mrms_R,classification,main_classification,stars,clashes,low_id,md5
T312.1,T312_P03.M08,61,312,1,P03,P,3,LZERD,249,8,1,51,89,0.1333,0.8769,0.1278,0.0873,23.4137,13.3727,13.6255,1481.4,9.87,140.08,0,(),0.8000,0.4643,0.1667,0.1333,0.9151,4.1747,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P03.M09,61,312,1,P03,P,3,LZERD,249,9,1,13,89,0.0167,0.9737,0.0206,0.0455,24.1960,15.1578,15.8374,1216.1,7.52,177.48,0,(),0.4400,0.5357,0.5769,0.1667,1.0007,4.4216,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P03.M10,61,312,1,P03,P,3,LZERD,249,10,1,24,89,0.0667,0.9000,0.0802,0.0730,21.5061,11.4101,11.9927,1172.7,14.74,117.03,0,(),0.2000,0.5714,0.6154,0.3043,0.8797,4.6362,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P03.M100,61,312,1,P03,P,3,LZERD,249,100,1,34,89,0.0333,0.9684,0.0325,0.0668,19.8221,13.5653,13.6393,2242.3,7.17,141.33,0,(),0.3200,0.7500,0.8000,0.2500,1.1001,4.6021,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P03.M11,61,312,1,P03,P,3,LZERD,249,11,1,13,89,0.0167,0.9762,0.0199,0.0560,21.3050,12.8029,13.1052,1623.2,9.88,116.86,0,(),0.1600,0.6071,0.8462,0.1500,0.8986,4.1028,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P03.M12,61,312,1,P03,P,3,LZERD,249,12,1,14,89,0.0167,0.9841,0.0165,0.0637,19.5523,12.1494,13.0535,1813.5,2.26,167.57,0,(),0.6000,0.5714,0.5833,0.3043,1.2487,4.3436,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P03.M13,61,312,1,P03,P,3,LZERD,249,13,1,6,89,0.0000,1.0000,0.0000,0.0555,20.0537,12.4505,12.6279,1072.3,12.80,88.14,0,(),0.1200,0.3571,0.8333,0.2857,0.9965,4.4233,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P03.M14,61,312,1,P03,P,3,LZERD,249,14,1,18,89,0.0000,0.9000,0.0000,0.0570,19.6068,13.1626,13.5409,1521.5,5.04,122.46,0,(),0.1200,0.7857,0.8889,0.1538,1.2691,3.5527,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P03.M15,61,312,1,P03,P,3,LZERD,249,15,1,29,89,0.0000,1.0000,0.0000,0.0608,18.8591,12.7895,12.9245,1679.4,4.80,112.85,0,(),0.1600,0.6786,0.8571,0.2400,0.9905,4.8519,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P03.M16,61,312,1,P03,P,3,LZERD,249,16,1,42,89,0.1167,0.8600,0.1275,0.0904,20.8388,13.8785,13.9379,1695.4,5.76,161.95,0,(),0.7600,0.5714,0.2400,0.2381,0.9628,4.2103,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P03.M17,61,312,1,P03,P,3,LZERD,249,17,1,8,89,0.0000,1.0000,0.0000,0.0553,19.9856,13.2105,13.6514,988.7,9.51,138.38,0,(),0.0400,0.4286,0.9500,0.3333,0.9884,4.4179,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P03.M18,61,312,1,P03,P,3,LZERD,249,18,1,29,89,0.0000,1.0000,0.0000,0.0495,21.5105,12.8097,13.1521,1582.7,8.47,126.81,0,(),0.1200,0.7857,0.8889,0.1538,1.2140,2.1803,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P03.M19,61,312,1,P03,P,3,LZERD,249,19,1,9,89,0.0000,0.6939,0.0000,0.0558,20.0146,12.3681,13.5750,1736.3,5.26,177.85,0,(),0.0000,0.5357,1.0000,0.4231,1.3708,4.0182,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P03.M20,61,312,1,P03,P,3,LZERD,249,20,1,3,89,0.0000,0.4118,0.0000,0.0467,22.1696,13.6374,14.7026,741.2,9.99,176.67,0,(),0.0000,0.3571,1.0000,0.2308,1.1566,3.1500,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P03.M21,61,312,1,P03,P,3,LZERD,249,21,1,34,89,0.0333,0.9538,0.0384,0.0637,20.6868,12.6834,12.8054,1841.3,9.84,160.03,0,(),0.2000,0.5714,0.8276,0.4074,1.1406,4.6060,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P03.M22,61,312,1,P03,P,3,LZERD,249,22,1,56,89,0.1167,0.9136,0.0991,0.0958,19.8100,12.2408,12.5903,1787.1,5.50,137.60,0,(),0.8000,0.8214,0.0909,0.2581,1.2408,4.1676,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P03.M23,61,312,1,P03,P,3,LZERD,249,23,1,15,89,0.0500,0.9348,0.0565,0.0617,22.5577,14.3636,14.8399,1660.8,5.83,147.48,0,(),0.4000,0.5357,0.5455,0.3478,0.8971,4.1372,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P03.M24,61,312,1,P03,P,3,LZERD,249,24,1,18,89,0.0000,0.9767,0.0000,0.0529,20.5050,13.5723,13.4669,1487.9,9.77,131.04,0,(),0.2000,0.4286,0.7917,0.3684,1.0043,4.4467,incorrect,incorrect,0,0,0,(null)
